Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP1015,formate_vs_phosphate,2.029197733430217,0.09016302434412184,1.939034709086095,12,12,8.037780134502267e-09,5.192206872564054e-06
MMP1301,formate_vs_phosphate,1.5009638706109094,0.12777841729330672,1.3731854533176027,12,12,1.5927014946515503e-08,5.192206872564054e-06
MMP0058,formate_vs_phosphate,1.0113991767482429,0.010909118675037105,1.0004900580732057,12,12,8.261889118811344e-08,1.795583901821665e-05
MMP0357,formate_vs_phosphate,2.4933495754265333,-0.8409668728734694,3.3343164483000027,6,9,4.7240105766438617e-07,7.23150926034372e-05
MMP1567,formate_vs_phosphate,0.6503628419987878,-0.22083521496184655,0.8711980569606343,12,12,5.804621295610298e-07,7.23150926034372e-05
MMP1560,formate_vs_phosphate,0.23674104956558575,-0.8231394102326791,1.059880459798265,11,12,6.654763123015693e-07,7.23150926034372e-05
MMP0126,formate_vs_phosphate,-1.580347962358163,0.33297917952086103,-1.913327141879024,9,12,1.1983552143736601e-06,0.00011161822853880377
MMP1347,formate_vs_phosphate,0.6355154428136723,-0.26429652956878397,0.8998119723824562,12,12,1.517884379603596e-06,0.00011804190408998231
MMP1298,formate_vs_phosphate,1.3075132898074977,-0.07746668172169713,1.3849799715291948,12,12,1.6294127865181608e-06,0.00011804190408998231
MMP0076,formate_vs_phosphate,0.7687550643505459,-0.4892800561979693,1.2580351205485152,12,12,2.336126228555763e-06,0.00015231543010183575
MMP1299,formate_vs_phosphate,1.0783631360662738,-0.12213704410687554,1.2005001801731492,12,12,3.617368478957061e-06,0.00021441129529818216
MMP0975,formate_vs_phosphate,1.0627615539696498,-0.746610263639749,1.809371817609399,11,12,5.574435717014189e-06,0.0003028776739577709
MMP1302,formate_vs_phosphate,1.814258352996828,0.36550914030791654,1.4487492126889114,12,12,8.688270307435949e-06,0.0004357501723421722
MMP1021,formate_vs_phosphate,1.2008751880778197,-0.8324271009981014,2.033302289075921,10,11,9.58461199409992e-06,0.00044636907286808197
MMP0297,formate_vs_phosphate,-0.03304320670700862,-0.8701198656157384,0.8370766589087297,12,12,1.2466808637082312e-05,0.0005418906154251779
MMP0952,formate_vs_phosphate,0.6216845190935815,-0.9853508253718369,1.6070353444654184,12,12,2.3342993509702792e-05,0.0009512269855203887
MMP0311,formate_vs_phosphate,1.4678578705057594,-0.15987969740944763,1.627737567915207,11,5,3.27511637726893e-05,0.0012561034576349071
MMP0340,formate_vs_phosphate,-0.7762044158826016,0.42711545328374756,-1.2033198691663491,12,12,3.6428898095270065e-05,0.0013033333262356423
MMP1637,formate_vs_phosphate,0.7249990418415285,-0.08745767279216377,0.8124567146336923,12,12,3.798057239030246e-05,0.0013033333262356423
MMP1371,formate_vs_phosphate,-0.27735341507399397,-1.3712918035226356,1.0939383884486416,12,12,5.910583745113257e-05,0.0019268503009069217
MMP0687,formate_vs_phosphate,0.12598415061533005,1.0837876298322684,-0.9578034792169383,12,12,6.805388707663659e-05,0.002112911160665098
MMP0540,formate_vs_phosphate,-0.9774291708945929,-0.019706596810190834,-0.9577225740844021,12,12,7.707878052622557e-05,0.002261317948255375
MMP1134,formate_vs_phosphate,1.7835246298175242,0.16834908901431045,1.6151755408032138,11,9,7.977041842005157e-05,0.002261317948255375
MMP1207,formate_vs_phosphate,-0.034481603294578944,-1.1463245152336374,1.1118429119390585,12,12,0.0001255998505240486,0.0033694325376384194
MMP0045,formate_vs_phosphate,-0.6797640931617756,0.6406934694121027,-1.3204575625738784,12,12,0.0001310410940639359,0.0033694325376384194
MMP0836,formate_vs_phosphate,0.38035149328806067,1.3600794486753756,-0.9797279553873148,12,12,0.00013877478229459874,0.0033694325376384194
MMP1503,formate_vs_phosphate,0.04432301917097698,-1.6159948313555423,1.6603178505265193,12,11,0.0001395317155157014,0.0033694325376384194
MMP0897,formate_vs_phosphate,-1.9672898887945542,1.0659374749068098,-3.0332273637013643,3,9,0.00014515253796356062,0.0033799805268657683
MMP1524,formate_vs_phosphate,-0.9276800784750238,0.5302201170033076,-1.4579001954783313,9,12,0.0002372242745860367,0.005333456104486067
MMP1189,formate_vs_phosphate,0.3922584635641859,-1.3412771482857198,1.7335356118499057,10,12,0.00026835388777488663,0.005832224494307536
MMP1504,formate_vs_phosphate,-0.5941621803793478,-1.7704183630360086,1.1762561826566609,12,12,0.00038010016750889306,0.007976152416437003
MMP1381,formate_vs_phosphate,-1.088172055233587,0.33656780203957776,-1.4247398572731647,11,10,0.00039146760326071184,0.007976152416437003
MMP1434,formate_vs_phosphate,-0.37800679443279656,-1.1584161664949153,0.7804093720621188,11,12,0.0004270708355499585,0.008341865197192093
MMP1439,formate_vs_phosphate,-0.040827631206483396,1.7815758296468254,-1.8224034608533088,12,12,0.00043500524034437296,0.008341865197192093
MMP0344,formate_vs_phosphate,0.6184930117837181,-0.11732886041193064,0.7358218721956487,11,12,0.0004729111129869162,0.008809658447641982
MMP0633,formate_vs_phosphate,0.8977019327191932,-0.2193014238775384,1.1170033565967317,12,12,0.0005078341780442118,0.009197441224578504
MMP1566,formate_vs_phosphate,0.3004862990911774,-0.6305807722302229,0.9310670713214003,12,12,0.0005219410644883256,0.009197447947199684
MMP0736,formate_vs_phosphate,0.3586491164828646,-0.32407478041746113,0.6827238969003258,12,12,0.0005818184202907152,0.009982779211303852
MMP0823,formate_vs_phosphate,1.263975330066846,0.3402643274082757,0.9237110026585702,12,12,0.0008013558288022704,0.013397025650745648
MMP0245,formate_vs_phosphate,-0.5913365816162953,0.4070201534733579,-0.9983567350896532,12,12,0.0008515445739402952,0.013556940742722129
MMP1148,formate_vs_phosphate,-0.7114934866829749,0.3977675440680282,-1.1092610307510031,11,12,0.0008525070098951031,0.013556940742722129
MMP0657,formate_vs_phosphate,0.21235306422168404,-0.6232441026477804,0.8355971668694644,11,12,0.0010180757736325328,0.015804414390676463
MMP1616,formate_vs_phosphate,-0.8863602694701975,0.03984597099711723,-0.9262062404673148,12,12,0.0010737383988575838,0.016178506149594922
MMP1032,formate_vs_phosphate,-0.37769524148411365,0.19903596293845918,-0.5767312044225729,12,12,0.0011211228480223648,0.016178506149594922
MMP0386,formate_vs_phosphate,1.118218839345938,0.3481005044044228,0.7701183349415153,12,12,0.0011382931674536615,0.016178506149594922
MMP1154,formate_vs_phosphate,0.5998016300755779,2.28256890822517,-1.6827672781495924,12,8,0.0011414283479775557,0.016178506149594922
MMP1444,formate_vs_phosphate,1.5714027523227265,-0.936937744552095,2.5083404968748217,5,9,0.0012538115369830937,0.017393300470488874
MMP1085,formate_vs_phosphate,-1.1546217736879378,0.7453693311960308,-1.8999911048839686,5,2,0.0014839759748437088,0.020157340324960377
MMP1321,formate_vs_phosphate,-0.12849726086285262,-0.7909818141520205,0.6624845532891679,12,12,0.0017952636868974914,0.023563896234938934
MMP1545,formate_vs_phosphate,-0.04753464765609724,-0.932764562968166,0.8852299153120687,12,12,0.001807047257280593,0.023563896234938934
MMP1558,formate_vs_phosphate,0.7909189201146848,-0.021292345195745507,0.8122112653104303,12,12,0.002015909549565476,0.025772020123856675
MMP0601,formate_vs_phosphate,1.5765078520345117,-0.5993886663769862,2.175896518411498,8,8,0.0022548447824780366,0.028272284580301538
MMP0253,formate_vs_phosphate,-1.011001369589321,-0.040868982205254055,-0.9701323873840669,12,12,0.002636205447155552,0.03180209840140579
MMP0325,formate_vs_phosphate,0.09661806613991546,0.610702140731102,-0.5140840745911865,12,12,0.002678644885079658,0.03180209840140579
MMP0808,formate_vs_phosphate,0.17471626410293944,2.3448003865317166,-2.170084122428777,11,2,0.0026856910375964017,0.03180209840140579
MMP1565,formate_vs_phosphate,0.29905589975618624,-1.1438770654345742,1.4429329651907605,12,7,0.0027769000416369657,0.03180209840140579
MMP0385,formate_vs_phosphate,1.127174254475112,-0.12228613309614678,1.2494603875712587,10,12,0.002780244798895905,0.03180209840140579
MMP0927,formate_vs_phosphate,0.27133518145841273,1.5851455770830507,-1.313810395624638,10,9,0.0029952498401866826,0.033499408582838106
MMP1722,formate_vs_phosphate,-0.030112776509730266,1.0897628756977789,-1.119875652207509,2,5,0.003031388199980749,0.033499408582838106
MMP1615,formate_vs_phosphate,0.39389301960888917,1.1525656458976468,-0.7586726262887575,12,10,0.0032063732920660265,0.034842589773784155
MMP0176,formate_vs_phosphate,0.28087012599535954,-0.36822799080983404,0.6490981168051936,12,12,0.003277265905717093,0.035029137221763026
MMP0872,formate_vs_phosphate,0.5633471224933558,-0.9695137843386785,1.5328609068320342,11,10,0.0033640383393426436,0.03537666124599038
MMP0716,formate_vs_phosphate,-0.1865666984364861,-0.9525212853846705,0.7659545869481844,11,10,0.0034468491677972714,0.03564481013663549
MMP0883,formate_vs_phosphate,1.2347859791016926,-0.6531693196818285,1.887955298783521,4,5,0.0034988770686267966,0.03564481013663549
MMP1419,formate_vs_phosphate,-0.15683611862664879,-0.7873017752957416,0.6304656566690928,12,12,0.0036846657908355513,0.03606593795968585
MMP1248,formate_vs_phosphate,0.5079984875016561,-0.14713680181508146,0.6551352893167376,12,12,0.003716770457476897,0.03606593795968585
MMP0737,formate_vs_phosphate,-1.4633771269530782,0.07857091504007584,-1.541948041993154,9,6,0.0037598777399143473,0.03606593795968585
MMP1550,formate_vs_phosphate,-0.20146081345590525,0.5273805473994928,-0.7288413608553981,12,12,0.0037614781921144753,0.03606593795968585
MMP0382,formate_vs_phosphate,-0.028749242207757812,-1.6573728198931499,1.6286235776853921,9,10,0.003893947676580346,0.036794983842469355
MMP1366,formate_vs_phosphate,-0.4385729836232328,-1.0053527701910252,0.5667797865677924,12,12,0.0041337356275535754,0.038252651430775775
MMP0040,formate_vs_phosphate,0.4568537788649539,2.280253708645032,-1.8233999297800783,12,6,0.004165549465621288,0.038252651430775775
MMP0866,formate_vs_phosphate,-0.25320658841038296,-1.3067903093598199,1.053583720949437,12,12,0.004420938394656383,0.03949677555464196
MMP1462,formate_vs_phosphate,0.5235219262555567,1.308161455398215,-0.7846395291426583,12,10,0.004422184993081079,0.03949677555464196
MMP1421,formate_vs_phosphate,-0.20160904569588226,-0.8703927931338562,0.668783747437974,12,12,0.004612508626245392,0.04063994086908102
MMP0980,formate_vs_phosphate,-0.1847567063590857,-1.1344991568126006,0.9497424504535149,12,12,0.00475361083760909,0.04085754159646009
MMP1403,formate_vs_phosphate,-0.13680217406222697,-1.0157255316154978,0.8789233575532709,12,12,0.004814614166406751,0.04085754159646009
MMP0627,formate_vs_phosphate,-0.08487708854088778,-0.784208150151333,0.6993310616104452,11,12,0.0048252004646126175,0.04085754159646009
MMP1505,formate_vs_phosphate,-0.5202531473509854,-1.1880314989220513,0.6677783515710659,12,12,0.005161253562665715,0.043142786190487774
MMP1206,formate_vs_phosphate,-1.308477730104128,-0.511671213039938,-0.7968065170641899,12,12,0.005803366334138461,0.04789613733997818
MMP0156,formate_vs_phosphate,-0.120273741786592,-0.7226994012883168,0.6024256595017248,12,12,0.005974280244775271,0.04810775111314751
MMP0212,formate_vs_phosphate,-0.15553454768298944,-0.7952339343242226,0.6396993866412332,12,12,0.006012930606683009,0.04810775111314751
MMP0261,formate_vs_phosphate,-0.8779174053002357,0.36315360296478466,-1.2410710082650203,11,12,0.006097006024165507,0.04810775111314751
MMP1559,formate_vs_phosphate,0.7955941524631704,0.10306840872954122,0.6925257437336292,12,12,0.006124146230661416,0.04810775111314751
MMP0432,formate_vs_phosphate,-1.6339729880676754,-0.06711913759627552,-1.5668538504714,4,9,0.006566085728995591,0.049061078361327386
MMP0929,formate_vs_phosphate,-0.499848044259687,0.2902629261851416,-0.7901109704448286,5,10,0.0065877725176268385,0.049061078361327386
MMP1711,formate_vs_phosphate,-0.16094440181224848,0.5182382347265069,-0.6791826365387553,12,12,0.006666664577700923,0.049061078361327386
MMP1704,formate_vs_phosphate,-1.1022771824180262,0.30178832331651745,-1.4040655057345437,12,8,0.006668308566801491,0.049061078361327386
MMP0694,formate_vs_phosphate,-1.0105186722311452,-0.14541396424661093,-0.8651047079845343,12,12,0.006736673787437822,0.049061078361327386
MMP1609,formate_vs_phosphate,0.38941543930488015,-0.05996766166055304,0.4493831009654332,12,12,0.006771470443340728,0.049061078361327386
MMP0567,formate_vs_phosphate,0.26715552437725965,-0.8637532217555257,1.1309087461327854,8,10,0.006772234743128014,0.049061078361327386
MMP0123,formate_vs_phosphate,-0.22326411313515837,1.5663459970780371,-1.7896101102131956,12,9,0.007124135728398742,0.05104325818588989
MMP1707,formate_vs_phosphate,-0.545377798386728,0.07220559472005625,-0.6175833931067842,12,12,0.0074705294515048995,0.0529433174171869
MMP1493,formate_vs_phosphate,-0.7035517222406678,0.060554454858000616,-0.7641061770986683,11,12,0.007739896388709957,0.05426249941332142
MMP1297,formate_vs_phosphate,1.3978586811180698,0.6250199656835825,0.7728387154344872,12,12,0.008038294529854504,0.055754979079416345
MMP1349,formate_vs_phosphate,-0.284312078750944,0.6557710358806534,-0.9400831146315974,11,9,0.00823568485872865,0.05580956372495136
MMP0023,formate_vs_phosphate,-0.44119178890293836,1.3892476567613654,-1.8304394456643038,8,5,0.00832323713388248,0.05580956372495136
MMP1489,formate_vs_phosphate,-1.8616804365440847,0.3857991342017161,-2.2474795707458006,4,4,0.008385057492139648,0.05580956372495136
MMP0180,formate_vs_phosphate,-1.1898963000918068,0.36520785384810067,-1.5551041539399075,11,10,0.008512710624770487,0.05580956372495136
MMP1666,formate_vs_phosphate,-1.5041338381882179,-0.08716845497405647,-1.4169653832141613,12,11,0.008555582587231603,0.05580956372495136
MMP0281,formate_vs_phosphate,0.5671957581469574,1.5644171228009587,-0.9972213646540012,12,12,0.008559749037569227,0.05580956372495136
MMP0372,formate_vs_phosphate,0.7835695743238359,0.32901897434775057,0.4545505999760853,12,12,0.008721496985401176,0.05630114885625314
MMP1579,formate_vs_phosphate,0.06380633263193754,-1.054704272368019,1.1185106049999565,12,12,0.00890553386785923,0.05692556942984527
MMP1094,formate_vs_phosphate,-0.539982874830437,-0.13255461537050486,-0.4074282594599322,12,12,0.009081224614371854,0.0574850334812665
MMP0020,formate_vs_phosphate,-0.24205541270473296,0.4211752744009544,-0.6632306871056874,12,10,0.00934027897240816,0.05814298475120136
MMP1222,formate_vs_phosphate,0.2644865299273126,-0.2950797643132204,0.5595662942405331,12,12,0.009417043929847756,0.05814298475120136
MMP0713,formate_vs_phosphate,0.15621863811178258,-1.0029994978017052,1.1592181359134877,9,11,0.00945269383991924,0.05814298475120136
MMP0093,formate_vs_phosphate,-0.236197492933456,0.6087000585710632,-0.8448975515045192,4,11,0.009541956299281118,0.05814350941244195
MMP0258,formate_vs_phosphate,-0.4525352725970198,-1.1924949893415324,0.7399597167445127,12,12,0.009847011608892195,0.05886911817512874
MMP1158,formate_vs_phosphate,1.2933648531873032,0.029820269866458405,1.2635445833208447,12,12,0.00985046967808229,0.05886911817512874
MMP1286,formate_vs_phosphate,-0.5623162936235143,0.0651192528655723,-0.6274355464890866,12,12,0.009931906440589205,0.05886911817512874
MMP0259,formate_vs_phosphate,-0.13770958306287337,-0.7400109864976726,0.6023014034347992,12,12,0.011151128987813744,0.06539691835757877
MMP1364,formate_vs_phosphate,-0.02296213635747833,-0.6802856175185313,0.657323481161053,12,12,0.01123382646633255,0.06539691835757877
MMP0295,formate_vs_phosphate,-0.3230319278037948,0.9956665185066478,-1.3186984463104425,12,6,0.011412867550411793,0.06585123577759724
MMP0916,formate_vs_phosphate,-0.36179062069439727,-0.8971700510735542,0.5353794303791569,12,12,0.011595546796301643,0.06589571148000424
MMP0224,formate_vs_phosphate,-0.6964395668794631,0.4441046961920393,-1.1405442630715024,8,9,0.011622709846933263,0.06589571148000424
MMP1136,formate_vs_phosphate,0.976403016308125,0.31996960414589837,0.6564334121622266,12,12,0.012382004648034661,0.06959540543550516
MMP0641,formate_vs_phosphate,-0.33425900123359237,-0.8030441168121804,0.468785115578588,12,12,0.012611925666906653,0.07028184217797553
MMP1031,formate_vs_phosphate,-0.09757774896832579,-0.45748345089571124,0.35990570192738547,12,12,0.012800970911920631,0.0707307884285784
MMP1406,formate_vs_phosphate,0.6179027963494805,-0.09392554883714721,0.7118283451866277,12,12,0.01309613756348264,0.07077740362707048
MMP0981,formate_vs_phosphate,-0.04565696439601078,-0.7573320442368701,0.7116750798408593,12,12,0.013100065231196823,0.07077740362707048
MMP1531,formate_vs_phosphate,0.09111554836620077,0.970764802601563,-0.8796492542353622,6,4,0.013135070305023817,0.07077740362707048
MMP1247,formate_vs_phosphate,1.0775071370364702,0.2739533468224074,0.8035537902140628,12,12,0.01336705022008592,0.07089888075397087
MMP1667,formate_vs_phosphate,-0.976382183708825,1.0779034211981728,-2.054285604906998,6,8,0.013375095602359536,0.07089888075397087
MMP1137,formate_vs_phosphate,1.0310639794436416,0.17364270356291553,0.857421275880726,12,11,0.013627754364299003,0.0714899964871915
MMP0966,formate_vs_phosphate,0.43248794040789046,-0.30991436356093444,0.7424023039688249,12,12,0.013705904234507573,0.0714899964871915
MMP0667,formate_vs_phosphate,-0.05409173079200776,-0.6125303578526743,0.5584386270606665,12,12,0.015466724900996156,0.08003416377340868
MMP0290,formate_vs_phosphate,-0.04554659513749188,-0.7573433162422024,0.7117967211047105,12,12,0.015741967283576762,0.08081702888891376
MMP0868,formate_vs_phosphate,-0.21909656821114823,-1.5592636308702332,1.340167062659085,12,11,0.01628974540637732,0.08297589066373447
MMP1360,formate_vs_phosphate,0.8985628691468958,-0.1764353785035287,1.0749982476504245,11,11,0.01644140413363906,0.08309918988474936
MMP1432,formate_vs_phosphate,-0.551353277091925,0.16786381958017868,-0.7192170966721038,12,12,0.01728009312480941,0.08666631321058259
MMP0370,formate_vs_phosphate,-0.4684031792377468,0.5783200975538503,-1.046723276791597,12,4,0.018136578122359647,0.09026754912808008
MMP0153,formate_vs_phosphate,-0.1539357842239326,1.1704559295942145,-1.3243917138181471,12,9,0.018898712357617746,0.09334818528156644
MMP1038,formate_vs_phosphate,-0.4557190474895687,-1.0755957550605184,0.6198767075709497,12,12,0.019411293043586634,0.0951591207851014
MMP0738,formate_vs_phosphate,1.930867235396079,-0.007824817998320339,1.9386920533943992,4,7,0.020108163601549527,0.09783972140455441
MMP1365,formate_vs_phosphate,-0.5270267208768625,-1.0960217966286898,0.5689950757518273,12,12,0.02095585314673875,0.09927465234241144
MMP1324,formate_vs_phosphate,-0.367250916400135,-1.0945916313134259,0.7273407149132909,12,12,0.020973393986726093,0.09927465234241144
MMP0447,formate_vs_phosphate,-0.43383151922586854,-1.0941009744688661,0.6602694552429975,11,12,0.021056428073080235,0.09927465234241144
MMP0603,formate_vs_phosphate,0.22029032338070365,-0.4788075747648523,0.699097898145556,12,11,0.021058539986090537,0.09927465234241144
MMP1409,formate_vs_phosphate,-0.34823525401354344,0.23453779303367353,-0.582773047047217,12,12,0.0211643814042871,0.09927465234241144
MMP1470,formate_vs_phosphate,-0.5864257323808878,0.02251108319425128,-0.6089368155751391,12,12,0.021449179311369408,0.09989189222152038
MMP0422,formate_vs_phosphate,-0.25873542260303095,0.44799924099063354,-0.7067346635936644,10,11,0.021674201494284395,0.10022396719342855
MMP1547,formate_vs_phosphate,-0.2621061809243567,-0.8279971340608685,0.5658909531365117,12,12,0.02218524580009993,0.1018646497300363
MMP1314,formate_vs_phosphate,-0.4724766391441438,0.43171155838599723,-0.904188197530141,12,12,0.022618712442888204,0.10304095264784824
MMP1300,formate_vs_phosphate,1.1109594586474165,2.7675663907028007,-1.6566069320553842,11,2,0.02275751101424869,0.10304095264784824
MMP1488,formate_vs_phosphate,-0.3243940103340349,0.4167881209208614,-0.7411821312548963,9,11,0.02377877103364364,0.10654541585060984
MMP0596,formate_vs_phosphate,-0.00744197715291442,-0.44010123209074153,0.4326592549378271,12,12,0.023858329316240854,0.10654541585060984
MMP1266,formate_vs_phosphate,-0.4267912860035313,-1.1491134740909423,0.7223221880874111,8,12,0.024156971961949613,0.10714520897408944
MMP1008,formate_vs_phosphate,-0.7521339148560451,0.1100497283943842,-0.8621836432504293,2,7,0.025047296596179835,0.11034349581560306
MMP1245,formate_vs_phosphate,0.8205004848033816,0.30663472554230126,0.5138657592610802,12,12,0.025444541801356323,0.11134121647304913
MMP0393,formate_vs_phosphate,0.18004988862381,-1.3503408145099292,1.5303907031337391,3,5,0.026666181324484083,0.11590900149042414
MMP1113,formate_vs_phosphate,-0.06282584922891986,-0.7571497759579073,0.6943239267289875,12,11,0.027041706787541024,0.11676286639388575
MMP1611,formate_vs_phosphate,-0.4915019881907598,0.36166011059106334,-0.8531620987818231,12,12,0.027649033181377767,0.1182096481034411
MMP0387,formate_vs_phosphate,-1.3578697093713852,0.2567598493893352,-1.6146295587607205,10,9,0.02773938061323081,0.1182096481034411
MMP1415,formate_vs_phosphate,-0.3675190974037403,-0.867368441569193,0.49984934416545274,12,12,0.028397487752030746,0.11992346383863954
MMP0926,formate_vs_phosphate,0.7069126533324779,-0.8575635611513396,1.5644762144838174,2,3,0.028509412415627496,0.11992346383863954
MMP1310,formate_vs_phosphate,0.023986568558722093,-0.80397850498121,0.8279650735399321,12,12,0.02898872117973768,0.1211579885204421
MMP1188,formate_vs_phosphate,-0.5390716534730939,-0.8894610173787751,0.3503893639056812,12,12,0.029479748349659763,0.12176136616606467
MMP1212,formate_vs_phosphate,-1.0552688522930764,-0.2019800847638399,-0.8532887675292365,12,12,0.029669928447684808,0.12176136616606467
MMP1422,formate_vs_phosphate,0.914068809625937,1.6312860267592098,-0.7172172171332728,5,4,0.029693339295098594,0.12176136616606467
MMP1404,formate_vs_phosphate,-0.12040326154627995,-0.5185066686079693,0.3981034070616894,12,12,0.03024704533265524,0.12325670973057011
MMP0154,formate_vs_phosphate,-0.43989645245973186,0.5844371080369395,-1.0243335604966712,9,11,0.03145904803737517,0.12700123420185894
MMP0654,formate_vs_phosphate,-1.012976306117314,-0.611214521696175,-0.4017617844211391,12,12,0.03155552138144348,0.12700123420185894
MMP1433,formate_vs_phosphate,-0.31722658625970557,-0.8442869061584873,0.5270603198987818,12,12,0.031867677869127205,0.12747071147650882
MMP1274,formate_vs_phosphate,-0.8070709546836791,-1.8811774988354655,1.0741065441517863,12,12,0.03253528727628716,0.12794715293194667
MMP0457,formate_vs_phosphate,-0.24548969338500862,-1.1502629729953089,0.9047732796103003,12,12,0.03263973347255123,0.12794715293194667
MMP0875,formate_vs_phosphate,-1.0517540211060625,-2.8342467063727215,1.782492685266659,5,9,0.0327878423524666,0.12794715293194667
MMP1418,formate_vs_phosphate,-0.2305837665768317,-0.7967403752296617,0.56615660865283,12,12,0.032902728947513275,0.12794715293194667
MMP1436,formate_vs_phosphate,-0.025790935118400003,-0.30848794335166135,0.2826970082332613,12,12,0.03296797805608442,0.12794715293194667
MMP1359,formate_vs_phosphate,-0.351477863038788,0.46852202363117496,-0.8199998866699629,11,9,0.033260963829073155,0.12832040483169052
MMP1156,formate_vs_phosphate,0.8163311692548513,0.14451245801019466,0.6718187112446566,12,12,0.034405055428609825,0.13062792736260656
MMP0082,formate_vs_phosphate,-0.4161996878802044,0.21040190850804308,-0.6266015963882474,12,12,0.03449557801216685,0.13062792736260656
MMP1091,formate_vs_phosphate,-0.23927799001087968,0.7858577819016678,-1.0251357719125473,12,6,0.0345540427535492,0.13062792736260656
